Designator,Footprint,Quantity,Value,LCSC Part #
P1,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D1,
P2,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D2,
P3,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D3,
P4,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D4,
P5,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D5,
P6,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D6,
P7,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D7,
P8,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,D8,
P9,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,A1,
P10,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,A2,
P11,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,A3,
P13,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,I2C 1,
P14,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,I2C 2,
P12,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,UART,
CON1,BarrelJack_Horizontal,1,BARREL_JACK,
L1,Neosid_Inductor_MA-Bs75,1,33µH,
C1,C_Radial_D10_L21_P5,1,680µ,
C2,C_Radial_D8_L13_P3.8,1,220µ,
D1,Diode_DO-201AD_Horizontal_RM15,1,Schottky 5A,
P15,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
U1,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM2596T-5,
U3,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,
D2,LED_D3.0mm,1,LED,
R1,R_Box_L13.0mm_W4.0mm_P9.00mm,1,560,
P26,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P23,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P24,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P20,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P27,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P22,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P30,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P29,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P31,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
_5,,1,,
P18,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P25,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P28,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P21,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
P19,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
