Designator,Mid X,Mid Y,Rotation,Layer
C1,140.8393,-116.3961,0.0,top
C2,140.8393,-110.9351,0.0,top
C3,131.4993,-127.4643,90.0,top
C4,131.4993,-111.8431,270.0,top
C5,155.3972,-109.3978,180.0,top
CON1,147.6973,-66.3291,270.0,top
D1,108.4993,-56.1181,90.0,top
D2,118.9963,-122.2219,270.0,top
IC1,159.5763,-75.6831,0.0,top
IC2,148.3323,-106.7851,90.0,top
IC3,182.372,-135.001,180.0,top
J1,175.212,-51.9473,180.0,top
J2,168.958,-159.7617,0.0,top
L1,118.9993,-116.3431,90.0,top
P1,190.6354,-56.7998,90.0,top
P10,101.9993,-69.3431,270.0,top
P11,101.9993,-99.3431,270.0,top
P12,101.9993,-129.3431,270.0,top
P13,190.0833,-96.8431,90.0,top
P14,101.9993,-143.8431,270.0,top
P15,190.0833,-141.8431,90.0,top
P16,91.9993,-79.3931,270.0,top
P17,91.9993,-109.3431,270.0,top
P18,103.4993,-155.8431,0.0,top
P19,200.0833,-116.8431,90.0,top
P2,131.4993,-155.8431,0.0,top
P20,143.4993,-155.8431,0.0,top
P21,101.9993,-84.3431,270.0,top
P22,101.9993,-114.3431,270.0,top
P23,108.4993,-145.3431,0.0,top
P24,190.0583,-111.8431,90.0,top
P25,190.1153,-155.8331,90.0,top
P26,200.0833,-131.8431,90.0,top
P27,190.0833,-126.8431,90.0,top
P28,200.0833,-71.8431,90.0,top
P29,200.0583,-86.8431,90.0,top
P3,120.2493,-155.8431,0.0,top
P30,190.0833,-67.3431,90.0,top
P31,190.0583,-81.8431,90.0,top
P4,91.9993,-64.3431,270.0,top
P5,91.9993,-94.3431,270.0,top
P6,91.9993,-124.1431,270.0,top
P7,200.0833,-101.8431,90.0,top
P8,200.0833,-146.8431,90.0,top
P9,92.0243,-138.8931,270.0,top
R1,108.4993,-60.3431,180.0,top
U1,134.9993,-133.3143,180.0,top
U2,137.9993,-99.3431,180.0,top
