References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
J1;J2;,2,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN),,,,,,,,,455-2249-ND,,8201551,,1516278
J3; J4; J5; J6;,4,CONN HEADER XH TOP 2POS 2.5MM,JST,B2B-XH-A (LF)(SN),,,,,,,,,455-2247-ND,,8201554P,73M9415,1516276
C1;C2;,2,100nF Capacitor Disc,Multicomp,MCFYU6104Z6,KEMET,C052C104K5R5CA,KEMET,C052K104K5X5CA,KEMET,C052T104K5X5CS,KEMET,C321C104K5R5HA,BC1101CT-ND,80C321C104K5R5HA,8523277,73M2154,2395773
Q1;Q2;Q3;Q4;,4,IRFZ24NPBF or IRFZ44NPbF footprint TO-220AB,Infineon,IRFZ44NPbF,,,,,,,,,IRFZ44NPBF-ND,942IRFZ44NPBF,5409777,,1544411
U1;U2,2,TC4427 footprint PDIP-8,Microchip,TC4427,Microchip,TC4427CPA,,,,,,,TC4427CPA-ND,579TC4427CPA,2070180,,9762639
R1;R2;R3;R4,4,Resistor 47 ohm 250mW through-hole,TE Connectivity,ROX1SJ47R,,,,,,,,,A131472CT-ND,279ROX1S47R,2140964,,1738569
R5;R6;R7;R8,4,Resistor 1k ohm 250mW through-hole,TE Connectivity,CFR16J1K0,,,,,,,,,A104669CT-ND,279216239273,1251150,,2329486
cables,6,"JUMPER SXH-001T-P0.6 X2 10""""",JST,ASXHSXH22K254,,,,,,,,,455-4223-ND,,,,
connectors 2pin,8,CONN HOUSING 2.5MM 2POS,JST,XHP-2,,,,,,,,,455-2266-ND,,8201611,,1516264
connectors 4pin,4,CONN HOUSING 2.5MM 4POS,JST,XHP-4,,,,,,,,,455-2267-ND,,8201618,,1516266
