Designator,Mid X,Mid Y,Rotation,Layer
J1,94.0,-30.0,0.0,top
R1,92.0,-69.0,0.0,top
R2,103.0,-36.5,180.0,top
J2,86.5,-43.5,90.0,top
J3,86.5,-57.5,90.0,top
J4,105.5,-83.5,180.0,top
J5,95.5,-92.0,180.0,top
J6,105.5,-92.0,180.0,top
J7,116.0,-92.0,180.0,top
J8,116.0,-83.5,180.0,top
J9,112.5,-41.5,-90.0,top
J10,121.5,-51.0,-90.0,top
J11,121.5,-41.5,-90.0,top
J12,121.475,-60.5,-90.0,top
J13,112.5,-51.0,-90.0,top
R3,86.5,-78.0,-90.0,top
R4,86.5,-64.0,-90.0,top
R5,92.0,-74.5,0.0,top
R6,107.0,-69.0,0.0,top
R7,107.0,-74.5,0.0,top
R8,108.5,-29.5,0.0,top
R9,108.5,-35.0,0.0,top
R10,103.0,-47.5,180.0,top
R11,103.0,-42.0,180.0,top
R12,103.0,-58.5,180.0,top
R13,103.0,-53.0,180.0,top
J14,95.5,-83.525,180.0,top
J15,112.5,-60.5,-90.0,top
R14,101.0,-64.0,180.0,top
