References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1, C2	2	C Small 680pF Unpolarized capacitor, small symbol Disc D5.1mm W3.2mm P5.00mm	Vishay 	K681K10X7RF5UH5							BC2690CT-ND   				
C3, C4	2	C Small 10nF Unpolarized capacitor, small symbol Disc D5.1mm W3.2mm P5.00mm	TDK corporation	FA18C0G2A103JRU06							445-175393-1-ND 				
C5, C6	2	C Small 10µF Unpolarized capacitor, small symbol Disc D5.1mm W3.2mm P5.00mm	AVX	TAP106M035SCS							478-6062-ND 				
C11	1	CP Small 680µF Polarized capacitor, small symbol Radial D10.0mm P5.00mm	Rubycon	35PX680MEFC10X16							1189-1282-ND 				
C15	1	CP Small 220µF Polarized capacitor, small symbol Radial D10.0mm P5.00mm	Panasonic	EEU-FM1V221							P12411-ND 				
D1, D5, D3, D2, D6, D4	6	1N4005 50V 1A General Purpose Rectifier Diode, DO-41 D SOD81 P10.16mm Horizontal	micro commercial	1N4005-TP							1N4005-TPMSCT-ND 				
D7, D8	2	1N47xxA 1300mW Zener Diode, DO-41 D SOD81 P10.16mm Horizontal	Vishay 	1N4757A-TR							1N4757AVSCT-ND 				
D17	1	1N5820 20V 3A Schottky Barrier Rectifier Diode, DO-201AD D P15.24mm Horizontal	SMC	SB5100TA							1655-1524-1-ND 				
H4, H3, H1, H2	4	MountingHole Mounting Hole without connection 3.2mm M3													
J1, J2	2	Conn 01x02 Female single row, 01x02 P2.54mm Vertical	Sullins	PPTC101LFBN-RC							S7008-ND 				
J3, J4	2	Screw Terminal 01x02 P2.54mm Vertical													
J9	1	Barrel Jack MountingPin DC with a mounting pin 5.5mmODx2.1mmID PJ-202A	CUI devices	PJ-202AH							CP-202AH-ND				
L1	1	L 33µH Inductor Radial D7.5mm P3.50mm Fastron 07P	Wuerth	7447471330							732-3415-ND 				
Q1, Q2	2	Q PNP Darlington BCE MJH11021G transistor, base/collector/emitter TO-247-3 Vertical	ON semiconductors	MJH11021G							MJH11021GOS-ND 				
Q5, Q6, Q3, Q4	4	MPSA42 TRANS NPN 300V 0.5A TO-92 TO-92L Inline Wide	ON semiconductors	MPSA42	ON semiconductor	KSP42BU 					KSP42BU-ND				
Q7, Q8	2	Q NPN Darlington BCE MJH11022G transistor, base/collector/emitter TO-247-3 Vertical	ON semiconductors	MJH11022G							MJH11022GOS-ND 				
R1, R9, R2, R10	4	R Small 10k Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	CF14JT10K0							CF14JT10K0CT-ND 				
R3, R4	2	R Small 4.7k Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	CF14JT4K70							CF14JT4K70CT-ND 				
R7, R11, R5, R8, R12, R6	6	R Small 330 Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	CF14JT330R							CF14JT330RCT-ND 				
R13, R14	2	R Small 2k Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	CF14JT2K00							CF14JT2K00CT-ND				
R15	1	R Small 1k Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	CF14JT1K00							CF14JT1K00CT-ND				
R16	1	R Small 9.1k Resistor, small symbol Axial DIN0411 L9.9mm D3.6mm P12.70mm Horizontal	Stackpole	RNMF14FAD9K10							RNMF14FAD9K10CT-ND				
U1, U2	2	LM555xM Precision Timers, 555 compatible, SOIC-8 DIP-8 W7.62mm LongPads	Texas instruments	NA555P 							296-21753-5-ND 				
U5	1	LM2596T-ADJ 12V 3A 150kHz Step-Down Voltage Regulator, TO-220 TO-220-5 	Texas instruments	LM2596T-ADJ/LF02 							296-49677-ND 				
