Designator,Mid X,Mid Y,Rotation,Layer
D1,98.0,-103.0,180.0,top
D3,77.96,-103.0,180.0,top
D5,56.0,-90.5,90.0,top
D6,56.0,-68.5,90.0,top
D7,56.0,-75.0,90.0,top
D8,69.0,-103.0,180.0,top
D9,59.5,-43.0,0.0,top
D10,65.0,-43.0,0.0,top
D11,70.5,-43.0,0.0,top
D12,76.0,-43.0,0.0,top
D13,60.5,-100.275,90.0,top
D14,60.5,-105.775,90.0,top
D15,59.5,-49.5,0.0,top
D16,65.0,-49.5,0.0,top
D17,70.5,-49.5,0.0,top
D18,76.0,-49.5,0.0,top
J1,88.5,-114.5,0.0,top
J2,68.5,-114.5,0.0,top
J3,43.5,-82.0,-90.0,top
J4,43.5,-66.5,-90.0,top
J5,113.5,-114.5,0.0,top
R1,98.04,-96.5,180.0,top
R2,86.5,-96.5,0.0,top
R3,78.0,-96.5,180.0,top
R4,49.5,-81.28,-90.0,top
R5,49.5,-90.5,90.0,top
R6,49.0,-68.5,90.0,top
R7,49.0,-75.0,90.0,top
R8,95.5,-109.5,0.0,top
R9,75.46,-109.5,0.0,top
R10,66.5,-109.5,0.0,top
R11,66.46,-96.5,0.0,top
R12,86.5,-109.5,0.0,top
R13,59.5,-38.0,0.0,top
R14,65.0,-38.0,0.0,top
R15,70.5,-38.0,0.0,top
R16,76.0,-38.0,0.0,top
R17,113.5,-107.0,-90.0,top
R18,83.5,-39.2625,0.0,top
R20,107.0,-69.0,90.0,top
R21,59.28,-108.775,0.0,top
R22,59.525,-54.5,0.0,top
R23,65.0,-54.5,0.0,top
R24,70.5,-54.5,0.0,top
R25,76.0,-54.5,0.0,top
RV1,113.5,-103.5,90.0,top
SW1,95.0,-92.0,90.0,top
SW2,85.5,-92.0,90.0,top
SW3,74.5,-92.146,90.0,top
SW4,65.0,-92.146,90.0,top
U1,86.0,-43.7625,180.0,top
U2,86.0,-50.2625,180.0,top
J16,88.5,-26.025,180.0,top
D2,89.0,-103.0,180.0,top
D22,100.0,-68.96,90.0,top
J7,57.5,-25.979,180.0,top
J8,71.5,-25.979,180.0,top
J9,105.0,-26.0,180.0,top
R27,59.28,-94.775,0.0,top
RLY2,102.5,-42.5,-90.0,top
U3,45.5,-34.575,0.0,top
J6,43.5,-98.0,-90.0,top
D20,110.255,-35.0,180.0,top
J10,123.5,-26.0,180.0,top
C1,41.0,-47.0,90.0,top
J12,50.5,-104.975,0.0,top
Q1,56.0,-81.225,-90.0,top
RV2,128.5,-103.5,90.0,top
J11,50.5,-97.5,0.0,top
ENC1,122.0,-42.5,180.0,top
R26,119.5,-107.0,-90.0,top
