References,Qty,Description,Manufacturer,MPN,Manufacturer_1,MPN_2,Manufacturer_3,MPN_4,Manufacturer_5,MPN_6,Manufacturer_7,MPN_8,Digikey,Mouser,RS,Newark,Farnell,,,,,,,,,,,,,,,,
U1;U2,2,TC4420 footprint PDIP-8,Microchip,TC4420CPA,,,,,,,,,TC4420EPA-ND ,,681-1124,,,,,,,,,,,,,,,,,,
Q1;Q2,4,IRF9Z34NPBF or IRF4905PbF footprint TO-220AB,Infineon,IRF4905PBF,,,,,,,,,IRF9Z34NPBF-ND ,,540-9799,,,,,,,,,,,,,,,,,,
Q3;Q4,4,IRFZ24NPBF or IRFZ44NPbF footprint TO-220AB,Infineon,IRFZ44NPbF ,,,,,,,,,,,540-9777,,,,,,,,,,,,,,,,,,
RV1;,1,3362P-1-103 10k Ohm,Bourns,3362P-1-103,ON Semiconductor,,,,,,,,3362P-103-ND,,522-0899,,,,,,,,,,,,,,,,,,
R3;R4;R5;R7,4,Resistor 47 ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB ,CF14JT270RCT-ND,791-RC1/4-271JB ,148360,95W5736,2329504,,,,,,,,,,,,,,,,
R1;R2;R8;R9,4,Resistor 1k ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB ,CF14JT270RCT-ND,791-RC1/4-271JB ,148360,95W5736,2329504,,,,,,,,,,,,,,,,
R6;,1,Resistor 4.7k ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB ,CF14JT270RCT-ND,791-RC1/4-271JB ,148360,95W5736,2329504,,,,,,,,,,,,,,,,
R10;,1,Resistor 220 ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB ,CF14JT270RCT-ND,791-RC1/4-271JB ,148360,95W5736,2329504,,,,,,,,,,,,,,,,
R11;,1,Resistor 560 ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB ,CF14JT270RCT-ND,791-RC1/4-271JB ,148360,95W5736,2329504,,,,,,,,,,,,,,,,
C2;C3;C6;C7,4,100nF Capacitor Disc,Multicomp,MCFYU6104Z6,KEMET,C052C104K5R5CA,KEMET,C052K104K5X5CA,KEMET,C052T104K5X5CS,KEMET,C321C104K5R5HA,BC1160CT-ND,80C321C104K5R5HA,852-3277,73M2154,2395773,,,,,,,,,,,,,,,,
C1;C4;C5,3,22uF CP_Radial_D5.0mm_P2.00mm,Panasonic,ECA-1HM220,,,,,,,,,,,228-6880,,,,,,,,,,,,,,490-1719-1-ND,81GRM21R60J226ME39L,7236029,24R6338,1735531
L1; L2;,2,INDUCTOR 33�H Neosid MA-Bs75,Bourns,RLB0914-330KL,,,,,,,,,RLB0914-330KL-ND,652RLB0914330KL,8118853,61J7916,2309242,,,,,,,,,,,,,,,,
J1;J5,2,CONN HEADER XH TOP 2POS 2.5MM,JST,B2B-XH-A (LF)(SN),,,,,,,,,,455-2247-ND,,8201554P,73M9415,1516276,,,,,,,,,,,,,,,
J2;J3,2,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN) ,,,,,,,,,,455-2249-ND ,,820-1551,,1516278,,,,,,,,,,,,,,,
J6;,1,Terminal block 5mm,RS Pro,494-8906,TE Connectivity,282837-2 ,,,,,,,A113320-ND ,,494-8906,,,,,,,,,,,,,,,,,,
D1;D2,2,3mm LED any colour,Bivar Inc,ELM 5-065,492-2284-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6-1,1,DS18B20 temperature sensor,Maxim integrated,DS18B20,,,,,,,,,DS18B20-ND ,,,,,,,,,,,,,,,,,,,,
