References,Qty,Description,Manufacturer,MPN,Manufacturer_1,MPN_2,Manufacturer_3,MPN_4,Manufacturer_5,MPN_6,Manufacturer_7,MPN_8,Digikey,Mouser,RS,Newark,Farnell
U1; U2,2,LM2596 5v,ITO-220,Texas Instruments,Texas Instruments,LM2596T-5.0/NOPB,,,,,,,LM2596T-5.0/NOPB-ND,926LM2596T5.0/NOPB,5333743,97K3256,1150103
U3;,1, ESP32-DevKitC-VIB 
P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;,15,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN) ,,,,,,,,,455-2249-ND ,,820-1551,,1516278
L1; L2;,2,INDUCTOR 33µH Neosid MA-Bs75,Bourns,RLB0914-330KL,,,,,,,,,RLB0914-330KL-ND,652RLB0914330KL,8118853,61J7916,2309242
J1;,1,USB A Vertical,FCI,73725-0110BLF,Molex,48204-0001,,,,,,,609-1041-ND,649737250110BLF,7710048,56R0832,2782046
D1; D2;,2,Diode Schottky 5A DO-201AD,Vishay,1N5822-E3/73,Zetex,SB5100-T,,,,,,,1N5822-E3/73GICT-ND,6251N5822E3/73,751-4843,17T8202,1336553
CON1;,1,2.1mm socket,Cliff,FC68148 DC10A,Lumberg,NEB 21 R,Cliff,FC68148,Gravitech,CON-SOCJ-2155,Parallax,452-00007,452-00007-ND,992CONSOCJ2155,5051609,08WX2563,224959
C1; C3;,2,680µF Capacitor,Rubycon,16ZL680MEFC10X16,Panasonic,EEU-FC1A681,Panasonic,EEU-FP1E681 ,,,,,1189-3978-ND,667-EEU-FP1E681 ,7037258,31M6417,1144691
C2; C4;,2,CAP ALUM 220UF 20% 25V RADIAL,Panasonic, EEU-FM1E221 ,Panasonic,ECA-1CM221B,Panasonic,ECE-A0GKS221,Panasonic,EEU-EB1A221S,,,P12383-ND,667ECA1CM221B,7472036,70K9673,9451099
1k1;,1,Resistor 1k 250mW through-hole,Multicomp,MF12 1K,Yageo,MFR-25FBF52-1K,RS Pro,7077666,,,,,1.00KXBK-ND,603MFR25FBF521K,7077666,38K5400,9342400
MCU;,1,Arduino Mini,Arduino,A000087,Arduino,A000005 ,,,,,,,1050-1001-ND,992-ARD-NANO30,696-1667,13T9275,1848691
2 pin housing;,4,plastic housing for crimped cables 2 pins XH,JST,XHP-2 ,,,,,,,,,455-2266-ND ,,1667314,,1516264
3 pin housing;,3,plastic housing for crimped cables 3 pins XH,JST,XHP-3,,,,,,,,,455-2219-ND ,941-XHP35A0D0BD440E,8201614,,1516265
4 pin housing;,1,plastic housing for crimped cables 4 pins XH,JST,XHP-4,,,,,,,,,455-2267-ND ,,1667316,74M5179,1516266
Crimped cable;,21,cables crimped with XH connectors,JST,ASXHSXH22K305 ,JST,01SXHSXH-26L 300,,,,,,,455-3241-ND ,,820-1541,,
fan;,1,36X36mm 5V cooling fan,Multicomp,MC36256 ,NMB Technologies,03510SS-05N-AT-00 ,Sunon,MF35100V2-1000U-A99 ,,,,,P19864-ND ,369-MF35100V21UA99 ,798-0754,23T0585,1924855
hdmi cable;,1,HDMI Cable (Raspberry to monitor),Raspberry Pi,CPRP010-W ,Tripp lite,P569-001 ,Qualtek,1721001-03,RS pro,801-1196,,,TL1665-ND ,562-1721001-03,801-1196,,2545201
Raspberry Pi;,1,Rasbperry Pi 3,Raspberry Pi,RASPBERRYPI3-MODB-1GB ,Seeed studio,114990584,,,,,,,1690-1000-ND ,713-114990584 ,8326274,,2525225
USB cable micro;,1,USB A to micro B,Tripp Lite,UR050-06N,rolline,11.02.8310 ,RS Pro,121-6579,,,,,TL1234-ND,545-UR050-06N,121-6579,68X4607,2444222
USB cable mini;,1,USB A to mini B,Tripp Lite,UR030-06N ,RS-pro,121-6572,,,,,,,TL1233-ND ,545-UR030-06N,121-6572,68X4592,2751173
LED Ring;,1,LED ring 12 leds,Adafruit,1643,,,,,,,,,1528-1102-ND,485-1643,,,
RGB Led;,1,RGB LED 4 pins,Knight bright,WP154A4SUREQBFZGC,knight bright,L-154A4SUREQBFZGEW ,,,,,,,754-1615-ND,604-WP154A4SUREQBFZG,8614294,66W1972,2290375
SD card;,1,Class 10 16GB sd microsd,Apacer Memory America,AP16GMCSH10U1-B ,Verbatim,44082,,,,,,,1582-1004-ND ,908-AP16GMCSH10U1-B,877-5557,,
Peltier module;,1,40X40X3.8mm peltier module,CUI Inc,CP85438 ,P&NTechnology,TEC1-127050,Multicomp,MCPE1-12707AC-S ,Adaptive,ET-127-14-11-RS,,,102-1682-ND ,490-CP85438,490-1373,08P1446,1639722
heatsink;,2,36X36X12 aluminum heatsink,CTS Thermal Management Products,BDN14-3CB/A01 ,Fischer eletronik,ICK S 36 X 36 X 10 ,,,,,,,294-1101-ND ,774-BDN143CBA01,6744810,74M2393,1211714
UV led;,1,EMITTER UV 390NM 1A ,LED Engin inc,LZ1-10UB00-00U4 ,,,,,,,,,1537-1137-ND ,,9053905P,,
temperature sensor;,1,analog output,Analog devices,AD22100KTZ ,,,,,,,,,AD22100KTZ-ND ,584-AD22100KTZ,5230076,,9605320
power supply;,1,12V 5A output,Mean well,GSM60A12-P1J ,CUI,SDI65-12-U2-P5 ,,,,,,,1866-2016-ND ,490-SDI65-12-U2-P5 ,7911058,44AC5087 ,2815822
picamera;,1, 5MP 12mm focal distance lens (m12 thread), waveshare,8193, https://www.waveshare.com/product/mini-pc/raspberry-pi/cameras/rpi-camera-b.htm ,,,,,,,,,,,,
